"date","pm25","pm10","o3","no2","so2","co","AQI"
"2021-01-01","60","86.5","26.9","23","9.2","0.9","54.18"
"2021-02-01","64.94","92.6","28.84","21.62","8.5","0.83","57.01"
"2021-03-01","67.1","95.21","29.62","21.16","8.25","0.81","58.3"
"2021-04-01","66.04","93.81","29.06","21.78","8.55","0.84","57.79"
"2021-05-01","62.2","88.92","27.34","23.33","9.31","0.92","55.76"
"2021-06-01","56.75","82.02","24.95","25.41","10.34","1.03","52.86"
"2021-07-01","51.3","75.13","22.56","27.5","11.36","1.13","49.9"
"2021-08-01","47.46","70.24","20.84","29.04","12.12","1.21","47.87"
"2021-09-01","46.4","68.84","20.28","29.66","12.42","1.24","47.37"
"2021-10-01","48.56","71.45","21.06","29.21","12.18","1.22","48.66"
"2021-11-01","53.5","77.55","23","27.82","11.48","1.16","51.53"
"2021-12-01","60.05","85.66","25.61","25.91","10.5","1.06","55.23"
"2022-01-01","66.6","93.76","28.22","23.99","9.53","0.97","58.97"
"2022-02-01","71.54","99.86","30.16","22.61","8.83","0.9","61.79"
"2022-03-01","73.7","102.47","30.94","22.16","8.58","0.88","63.09"
"2022-04-01","72.64","101.07","30.38","22.77","8.88","0.91","62.58"
"2022-05-01","68.8","96.18","28.66","24.32","9.64","0.99","60.55"
"2022-06-01","63.35","89.28","26.27","26.4","10.67","1.09","57.6"
"2022-07-01","57.9","82.39","23.88","28.48","11.69","1.2","54.69"
"2022-08-01","54.06","77.5","22.16","30.03","12.45","1.28","52.66"
"2022-09-01","53","76.1","21.6","30.65","12.75","1.31","52.16"
"2022-10-01","55.16","78.71","22.38","30.2","12.51","1.29","53.45"
"2022-11-01","60.1","84.81","24.32","28.82","11.8","1.22","56.27"
"2022-12-01","66.65","92.92","26.93","26.9","10.83","1.13","60.02"
"2023-01-01","73.2","101.02","29.54","24.98","9.86","1.03","63.71"
"2023-02-01","78.14","107.12","31.48","23.6","9.16","0.96","66.53"
"2023-03-01","80.3","109.73","32.26","23.14","8.91","0.94","67.83"
"2023-04-01","79.24","108.33","31.7","23.76","9.21","0.98","67.37"
"2023-05-01","75.4","103.44","29.98","25.31","9.97","1.05","65.29"
"2023-06-01","69.95","96.54","27.59","27.39","11","1.16","62.38"
"2023-07-01","64.5","89.65","25.2","29.48","12.02","1.26","59.43"
"2023-08-01","60.66","84.76","23.48","31.02","12.78","1.34","57.4"
"2023-09-01","59.6","83.36","22.92","31.64","13.08","1.38","56.95"
"2023-10-01","61.76","85.97","23.7","31.19","12.84","1.35","58.19"
"2023-11-01","66.7","92.07","25.64","29.8","12.14","1.29","61.06"
"2023-12-01","73.25","100.18","28.25","27.89","11.16","1.19","64.76"
