"date","pm25","pm10","o3","no2","so2","co","AQI"
"2021-01-01","82.5","109","32.9","30.5","12.2","1.15","70.96"
"2021-02-01","87.44","115.1","34.84","29.12","11.5","1.08","73.78"
"2021-03-01","89.6","117.71","35.62","28.66","11.26","1.06","75.07"
"2021-04-01","88.54","116.31","35.06","29.28","11.55","1.09","74.57"
"2021-05-01","84.7","111.42","33.34","30.83","12.31","1.17","72.54"
"2021-06-01","79.25","104.52","30.95","32.91","13.34","1.28","69.63"
"2021-07-01","73.8","97.63","28.56","34.99","14.36","1.38","66.68"
"2021-08-01","69.96","92.74","26.84","36.54","15.12","1.46","64.65"
"2021-09-01","68.9","91.34","26.28","37.16","15.42","1.49","64.14"
"2021-10-01","71.06","93.95","27.06","36.71","15.18","1.47","65.44"
"2021-11-01","76","100.05","29","35.33","14.48","1.4","68.26"
"2021-12-01","82.55","108.16","31.61","33.41","13.5","1.31","72"
"2022-01-01","89.1","116.26","34.22","31.49","12.53","1.22","75.75"
"2022-02-01","94.04","122.36","36.16","30.11","11.83","1.15","78.57"
"2022-03-01","96.2","124.97","36.94","29.66","11.58","1.13","79.86"
"2022-04-01","95.14","123.57","36.38","30.27","11.88","1.16","79.36"
"2022-05-01","91.3","118.68","34.66","31.82","12.64","1.24","77.33"
"2022-06-01","85.85","111.78","32.27","33.9","13.67","1.34","74.37"
"2022-07-01","80.4","104.89","29.88","35.98","14.69","1.45","71.47"
"2022-08-01","76.56","100","28.16","37.53","15.45","1.53","69.44"
"2022-09-01","75.5","98.6","27.6","38.15","15.75","1.56","68.93"
"2022-10-01","77.66","101.21","28.38","37.7","15.51","1.54","70.23"
"2022-11-01","82.6","107.31","30.32","36.32","14.8","1.47","73.05"
"2022-12-01","89.15","115.42","32.93","34.4","13.83","1.38","76.79"
"2023-01-01","95.7","123.52","35.54","32.48","12.86","1.28","80.49"
"2023-02-01","100.64","129.62","37.48","31.1","12.16","1.21","83.31"
"2023-03-01","102.8","132.23","38.26","30.64","11.92","1.19","84.6"
"2023-04-01","101.74","130.83","37.7","31.26","12.21","1.23","84.15"
"2023-05-01","97.9","125.94","35.98","32.81","12.97","1.3","82.07"
"2023-06-01","92.45","119.04","33.59","34.89","14","1.41","79.16"
"2023-07-01","87","112.15","31.2","36.98","15.02","1.52","76.26"
"2023-08-01","83.16","107.26","29.48","38.52","15.78","1.59","74.18"
"2023-09-01","82.1","105.86","28.92","39.14","16.08","1.63","73.72"
"2023-10-01","84.26","108.47","29.7","38.69","15.84","1.6","74.97"
"2023-11-01","89.2","114.57","31.64","37.3","15.14","1.54","77.84"
"2023-12-01","95.75","122.68","34.25","35.39","14.16","1.44","81.53"
