"date","pm25","pm10","o3","no2","so2","co","AQI"
"2021-01-01","51","77.5","24.5","20","8","0.8","47.47"
"2021-02-01","55.94","83.6","26.44","18.62","7.3","0.73","50.3"
"2021-03-01","58.1","86.21","27.22","18.16","7.06","0.71","51.59"
"2021-04-01","57.04","84.81","26.66","18.78","7.35","0.74","51.08"
"2021-05-01","53.2","79.92","24.94","20.33","8.11","0.82","49.05"
"2021-06-01","47.75","73.03","22.55","22.41","9.14","0.93","46.15"
"2021-07-01","42.3","66.13","20.16","24.5","10.16","1.03","43.19"
"2021-08-01","38.46","61.24","18.44","26.04","10.92","1.11","41.16"
"2021-09-01","37.4","59.84","17.88","26.66","11.22","1.14","40.66"
"2021-10-01","39.56","62.45","18.66","26.21","10.98","1.12","41.95"
"2021-11-01","44.5","68.55","20.6","24.82","10.28","1.06","44.82"
"2021-12-01","51.05","76.66","23.21","22.91","9.3","0.96","48.52"
"2022-01-01","57.6","84.76","25.82","20.99","8.33","0.87","52.26"
"2022-02-01","62.54","90.86","27.76","19.61","7.63","0.8","55.08"
"2022-03-01","64.7","93.47","28.54","19.16","7.38","0.78","56.38"
"2022-04-01","63.64","92.07","27.98","19.77","7.68","0.81","55.87"
"2022-05-01","59.8","87.18","26.26","21.32","8.44","0.89","53.84"
"2022-06-01","54.35","80.28","23.87","23.4","9.47","0.99","50.89"
"2022-07-01","48.9","73.39","21.48","25.48","10.5","1.1","47.98"
"2022-08-01","45.06","68.5","19.76","27.03","11.25","1.18","45.95"
"2022-09-01","44","67.1","19.2","27.65","11.55","1.21","45.45"
"2022-10-01","46.16","69.71","19.98","27.2","11.31","1.19","46.74"
"2022-11-01","51.1","75.81","21.92","25.82","10.6","1.12","49.56"
"2022-12-01","57.65","83.92","24.53","23.9","9.63","1.03","53.31"
"2023-01-01","64.2","92.02","27.14","21.98","8.66","0.93","57"
"2023-02-01","69.14","98.12","29.08","20.6","7.96","0.86","59.82"
"2023-03-01","71.3","100.73","29.86","20.14","7.72","0.84","61.12"
"2023-04-01","70.24","99.33","29.3","20.76","8.01","0.88","60.66"
"2023-05-01","66.4","94.44","27.58","22.31","8.77","0.95","58.58"
"2023-06-01","60.95","87.54","25.19","24.39","9.8","1.06","55.68"
"2023-07-01","55.5","80.65","22.8","26.48","10.82","1.16","52.72"
"2023-08-01","51.66","75.76","21.08","28.02","11.58","1.24","50.69"
"2023-09-01","50.6","74.36","20.52","28.64","11.88","1.28","50.24"
"2023-10-01","52.76","76.97","21.3","28.19","11.64","1.25","51.48"
"2023-11-01","57.7","83.07","23.24","26.8","10.94","1.19","54.35"
"2023-12-01","64.25","91.18","25.85","24.89","9.96","1.09","58.05"
