"date","pm25","pm10","o3","no2","so2","co","AQI"
"2021-01-01","91.5","118","35.3","33.5","13.4","1.25","77.67"
"2021-02-01","96.44","124.1","37.24","32.12","12.7","1.18","80.49"
"2021-03-01","98.6","126.71","38.02","31.66","12.45","1.16","81.78"
"2021-04-01","97.54","125.31","37.46","32.28","12.75","1.19","81.28"
"2021-05-01","93.7","120.42","35.74","33.83","13.51","1.27","79.25"
"2021-06-01","88.25","113.52","33.35","35.91","14.54","1.38","76.34"
"2021-07-01","82.8","106.63","30.96","37.99","15.56","1.48","73.39"
"2021-08-01","78.96","101.74","29.24","39.54","16.32","1.56","71.36"
"2021-09-01","77.9","100.34","28.68","40.16","16.62","1.59","70.85"
"2021-10-01","80.06","102.95","29.46","39.71","16.38","1.57","72.15"
"2021-11-01","85","109.05","31.4","38.33","15.68","1.5","74.97"
"2021-12-01","91.55","117.16","34.01","36.41","14.7","1.41","78.71"
"2022-01-01","98.1","125.26","36.62","34.49","13.73","1.32","82.46"
"2022-02-01","103.04","131.36","38.56","33.11","13.03","1.25","85.28"
"2022-03-01","105.2","133.97","39.34","32.66","12.78","1.23","86.57"
"2022-04-01","104.14","132.57","38.78","33.27","13.08","1.26","86.07"
"2022-05-01","100.3","127.68","37.06","34.82","13.84","1.34","84.04"
"2022-06-01","94.85","120.78","34.67","36.9","14.87","1.44","81.08"
"2022-07-01","89.4","113.89","32.28","38.98","15.89","1.55","78.18"
"2022-08-01","85.56","109","30.56","40.53","16.65","1.63","76.15"
"2022-09-01","84.5","107.6","30","41.15","16.95","1.66","75.64"
"2022-10-01","86.66","110.21","30.78","40.7","16.71","1.64","76.94"
"2022-11-01","91.6","116.31","32.72","39.32","16","1.57","79.76"
"2022-12-01","98.15","124.42","35.33","37.4","15.03","1.48","83.5"
"2023-01-01","104.7","132.52","37.94","35.48","14.06","1.38","87.2"
"2023-02-01","109.64","138.62","39.88","34.1","13.36","1.31","90.02"
"2023-03-01","111.8","141.23","40.66","33.65","13.11","1.29","91.31"
"2023-04-01","110.74","139.83","40.1","34.26","13.41","1.33","90.86"
"2023-05-01","106.9","134.94","38.38","35.81","14.17","1.4","88.78"
"2023-06-01","101.45","128.05","35.99","37.89","15.2","1.51","85.87"
"2023-07-01","96","121.15","33.6","39.98","16.22","1.62","82.97"
"2023-08-01","92.16","116.26","31.88","41.52","16.98","1.69","80.88"
"2023-09-01","91.1","114.86","31.32","42.14","17.28","1.73","80.43"
"2023-10-01","93.26","117.47","32.1","41.69","17.04","1.7","81.68"
"2023-11-01","98.2","123.57","34.04","40.3","16.33","1.64","84.54"
"2023-12-01","104.75","131.68","36.65","38.39","15.36","1.54","88.24"
