"date","pm25","pm10","o3","no2","so2","co","AQI"
"2021-01-01","55.5","82","25.7","21.5","8.6","0.85","50.83"
"2021-02-01","60.44","88.1","27.64","20.12","7.9","0.78","53.65"
"2021-03-01","62.6","90.71","28.42","19.66","7.65","0.76","54.94"
"2021-04-01","61.54","89.31","27.86","20.28","7.95","0.79","54.44"
"2021-05-01","57.7","84.42","26.14","21.83","8.71","0.87","52.41"
"2021-06-01","52.25","77.53","23.75","23.91","9.74","0.98","49.51"
"2021-07-01","46.8","70.63","21.36","26","10.76","1.08","46.55"
"2021-08-01","42.96","65.74","19.64","27.54","11.52","1.16","44.52"
"2021-09-01","41.9","64.34","19.08","28.16","11.82","1.19","44.01"
"2021-10-01","44.06","66.95","19.86","27.71","11.58","1.17","45.31"
"2021-11-01","49","73.05","21.8","26.32","10.88","1.1","48.13"
"2021-12-01","55.55","81.16","24.41","24.41","9.9","1.01","51.88"
"2022-01-01","62.1","89.26","27.02","22.49","8.93","0.92","55.62"
"2022-02-01","67.04","95.36","28.96","21.11","8.23","0.85","58.44"
"2022-03-01","69.2","97.97","29.74","20.66","7.98","0.83","59.73"
"2022-04-01","68.14","96.57","29.18","21.27","8.28","0.86","59.23"
"2022-05-01","64.3","91.68","27.46","22.82","9.04","0.94","57.2"
"2022-06-01","58.85","84.78","25.07","24.9","10.07","1.04","54.24"
"2022-07-01","53.4","77.89","22.68","26.98","11.1","1.15","51.34"
"2022-08-01","49.56","73","20.96","28.53","11.85","1.23","49.31"
"2022-09-01","48.5","71.6","20.4","29.15","12.15","1.26","48.8"
"2022-10-01","50.66","74.21","21.18","28.7","11.91","1.24","50.1"
"2022-11-01","55.6","80.31","23.12","27.32","11.21","1.17","52.92"
"2022-12-01","62.15","88.42","25.73","25.4","10.23","1.08","56.66"
"2023-01-01","68.7","96.52","28.34","23.48","9.26","0.98","60.36"
"2023-02-01","73.64","102.62","30.28","22.1","8.56","0.91","63.18"
"2023-03-01","75.8","105.23","31.06","21.64","8.32","0.89","64.47"
"2023-04-01","74.74","103.83","30.5","22.26","8.61","0.93","64.02"
"2023-05-01","70.9","98.94","28.78","23.81","9.37","1","61.94"
"2023-06-01","65.45","92.04","26.39","25.89","10.4","1.11","59.03"
"2023-07-01","60","85.15","24","27.98","11.42","1.22","56.13"
"2023-08-01","56.16","80.26","22.28","29.52","12.18","1.29","54.04"
"2023-09-01","55.1","78.86","21.72","30.14","12.48","1.33","53.59"
"2023-10-01","57.26","81.47","22.5","29.69","12.24","1.3","54.84"
"2023-11-01","62.2","87.57","24.44","28.3","11.54","1.24","57.71"
"2023-12-01","68.75","95.68","27.05","26.39","10.56","1.14","61.4"
