"date","pm25","pm10","o3","no2","so2","co","AQI"
"2021-01-01","100.5","127","37.7","36.5","14.6","1.35","84.38"
"2021-02-01","105.44","133.1","39.64","35.12","13.9","1.28","87.2"
"2021-03-01","107.6","135.71","40.42","34.66","13.66","1.26","88.49"
"2021-04-01","106.54","134.31","39.86","35.28","13.95","1.29","87.99"
"2021-05-01","102.7","129.42","38.14","36.83","14.71","1.37","85.96"
"2021-06-01","97.25","122.52","35.75","38.91","15.74","1.48","83.05"
"2021-07-01","91.8","115.63","33.36","41","16.76","1.58","80.1"
"2021-08-01","87.96","110.74","31.64","42.54","17.52","1.66","78.07"
"2021-09-01","86.9","109.34","31.08","43.16","17.82","1.69","77.56"
"2021-10-01","89.06","111.95","31.86","42.71","17.58","1.67","78.86"
"2021-11-01","94","118.05","33.8","41.32","16.88","1.6","81.68"
"2021-12-01","100.55","126.16","36.41","39.41","15.9","1.51","85.42"
"2022-01-01","107.1","134.26","39.02","37.49","14.93","1.42","89.17"
"2022-02-01","112.04","140.36","40.96","36.11","14.23","1.35","91.99"
"2022-03-01","114.2","142.97","41.74","35.66","13.98","1.33","93.28"
"2022-04-01","113.14","141.57","41.18","36.27","14.28","1.36","92.78"
"2022-05-01","109.3","136.68","39.46","37.82","15.04","1.44","90.75"
"2022-06-01","103.85","129.78","37.07","39.9","16.07","1.54","87.79"
"2022-07-01","98.4","122.89","34.68","41.98","17.1","1.65","84.89"
"2022-08-01","94.56","118","32.96","43.53","17.85","1.73","82.86"
"2022-09-01","93.5","116.6","32.4","44.15","18.15","1.76","82.35"
"2022-10-01","95.66","119.21","33.18","43.7","17.91","1.74","83.65"
"2022-11-01","100.6","125.31","35.12","42.32","17.21","1.67","86.47"
"2022-12-01","107.15","133.42","37.73","40.4","16.23","1.58","90.21"
"2023-01-01","113.7","141.52","40.34","38.48","15.26","1.48","93.91"
"2023-02-01","118.64","147.62","42.28","37.1","14.56","1.41","96.73"
"2023-03-01","120.8","150.23","43.06","36.65","14.32","1.39","98.02"
"2023-04-01","119.74","148.83","42.5","37.26","14.61","1.43","97.57"
"2023-05-01","115.9","143.94","40.78","38.81","15.37","1.5","95.49"
"2023-06-01","110.45","137.05","38.39","40.89","16.4","1.61","92.58"
"2023-07-01","105","130.15","36","42.98","17.42","1.72","89.68"
"2023-08-01","101.16","125.26","34.28","44.52","18.18","1.79","87.6"
"2023-09-01","100.1","123.86","33.72","45.14","18.48","1.83","87.14"
"2023-10-01","102.26","126.47","34.5","44.69","18.24","1.8","88.39"
"2023-11-01","107.2","132.57","36.44","43.3","17.54","1.74","91.26"
"2023-12-01","113.75","140.68","39.05","41.39","16.56","1.64","94.95"
