"date","pm25","pm10","o3","no2","so2","co","AQI"
"2021-01-01","78","104.5","31.7","29","11.6","1.1","67.6"
"2021-02-01","82.94","110.6","33.64","27.62","10.9","1.03","70.43"
"2021-03-01","85.1","113.21","34.42","27.16","10.66","1.01","71.72"
"2021-04-01","84.04","111.81","33.86","27.78","10.95","1.04","71.21"
"2021-05-01","80.2","106.92","32.14","29.33","11.71","1.12","69.18"
"2021-06-01","74.75","100.02","29.75","31.41","12.74","1.23","66.28"
"2021-07-01","69.3","93.13","27.36","33.49","13.76","1.33","63.32"
"2021-08-01","65.46","88.24","25.64","35.04","14.52","1.41","61.29"
"2021-09-01","64.4","86.84","25.08","35.66","14.82","1.44","60.79"
"2021-10-01","66.56","89.45","25.86","35.21","14.58","1.42","62.08"
"2021-11-01","71.5","95.55","27.8","33.83","13.88","1.36","64.96"
"2021-12-01","78.05","103.66","30.41","31.91","12.9","1.26","68.65"
"2022-01-01","84.6","111.76","33.02","29.99","11.93","1.17","72.39"
"2022-02-01","89.54","117.86","34.96","28.61","11.23","1.1","75.21"
"2022-03-01","91.7","120.47","35.74","28.16","10.98","1.08","76.51"
"2022-04-01","90.64","119.07","35.18","28.77","11.28","1.11","76"
"2022-05-01","86.8","114.18","33.46","30.32","12.04","1.19","73.97"
"2022-06-01","81.35","107.28","31.07","32.4","13.07","1.29","71.02"
"2022-07-01","75.9","100.39","28.68","34.48","14.1","1.4","68.11"
"2022-08-01","72.06","95.5","26.96","36.03","14.85","1.48","66.08"
"2022-09-01","71","94.1","26.4","36.65","15.15","1.51","65.58"
"2022-10-01","73.16","96.71","27.18","36.2","14.91","1.49","66.87"
"2022-11-01","78.1","102.81","29.12","34.82","14.21","1.42","69.69"
"2022-12-01","84.65","110.92","31.73","32.9","13.23","1.33","73.44"
"2023-01-01","91.2","119.02","34.34","30.98","12.26","1.23","77.13"
"2023-02-01","96.14","125.12","36.28","29.6","11.56","1.16","79.95"
"2023-03-01","98.3","127.73","37.06","29.14","11.32","1.14","81.25"
"2023-04-01","97.24","126.33","36.5","29.76","11.61","1.18","80.79"
"2023-05-01","93.4","121.44","34.78","31.31","12.37","1.25","78.71"
"2023-06-01","87.95","114.54","32.39","33.39","13.4","1.36","75.81"
"2023-07-01","82.5","107.65","30","35.48","14.42","1.46","72.85"
"2023-08-01","78.66","102.76","28.28","37.02","15.18","1.54","70.82"
"2023-09-01","77.6","101.36","27.72","37.64","15.48","1.58","70.37"
"2023-10-01","79.76","103.97","28.5","37.19","15.24","1.55","71.61"
"2023-11-01","84.7","110.07","30.44","35.8","14.54","1.49","74.48"
"2023-12-01","91.25","118.18","33.05","33.89","13.56","1.39","78.18"
