"date","pm25","pm10","o3","no2","so2","co","AQI"
"2021-01-01","105","131.5","38.9","38","15.2","1.4","87.74"
"2021-02-01","109.94","137.6","40.84","36.62","14.5","1.33","90.56"
"2021-03-01","112.1","140.21","41.62","36.16","14.26","1.31","91.85"
"2021-04-01","111.04","138.81","41.06","36.78","14.55","1.34","91.34"
"2021-05-01","107.2","133.92","39.34","38.33","15.31","1.42","89.31"
"2021-06-01","101.75","127.02","36.95","40.41","16.34","1.53","86.41"
"2021-07-01","96.3","120.13","34.56","42.5","17.36","1.63","83.45"
"2021-08-01","92.46","115.24","32.84","44.04","18.12","1.71","81.42"
"2021-09-01","91.4","113.84","32.28","44.66","18.42","1.74","80.92"
"2021-10-01","93.56","116.45","33.06","44.21","18.18","1.72","82.21"
"2021-11-01","98.5","122.55","35","42.82","17.47","1.66","85.08"
"2021-12-01","105.05","130.66","37.61","40.91","16.5","1.56","88.78"
"2022-01-01","111.6","138.76","40.22","38.99","15.53","1.47","92.52"
"2022-02-01","116.54","144.86","42.16","37.61","14.83","1.4","95.34"
"2022-03-01","118.7","147.47","42.94","37.16","14.58","1.38","96.64"
"2022-04-01","117.64","146.07","42.38","37.77","14.88","1.41","96.13"
"2022-05-01","113.8","141.18","40.66","39.32","15.64","1.49","94.1"
"2022-06-01","108.35","134.28","38.27","41.4","16.67","1.59","91.15"
"2022-07-01","102.9","127.39","35.88","43.48","17.7","1.7","88.24"
"2022-08-01","99.06","122.5","34.16","45.03","18.45","1.78","86.21"
"2022-09-01","98","121.1","33.6","45.65","18.75","1.81","85.71"
"2022-10-01","100.16","123.71","34.38","45.2","18.51","1.79","87"
"2022-11-01","105.1","129.81","36.32","43.82","17.8","1.72","89.82"
"2022-12-01","111.65","137.92","38.93","41.9","16.83","1.63","93.57"
"2023-01-01","118.2","146.02","41.54","39.98","15.86","1.53","97.26"
"2023-02-01","123.14","152.12","43.48","38.6","15.16","1.46","100.08"
"2023-03-01","125.3","154.73","44.26","38.15","14.92","1.44","101.38"
"2023-04-01","124.24","153.33","43.7","38.76","15.21","1.48","100.92"
"2023-05-01","120.4","148.44","41.98","40.31","15.97","1.55","98.84"
"2023-06-01","114.95","141.55","39.59","42.39","17","1.66","95.94"
"2023-07-01","109.5","134.65","37.2","44.48","18.02","1.76","92.98"
"2023-08-01","105.66","129.76","35.48","46.02","18.78","1.84","90.95"
"2023-09-01","104.6","128.36","34.92","46.64","19.08","1.88","90.5"
"2023-10-01","106.76","130.97","35.7","46.19","18.84","1.85","91.74"
"2023-11-01","111.7","137.07","37.64","44.8","18.13","1.79","94.61"
"2023-12-01","118.25","145.18","40.25","42.89","17.16","1.69","98.31"
